n_estimators,max_samples,max_features,contamination,bootstrap,threshold,precision,recall,f1,fpr,pr_auc,roc_auc,training_seconds
800,1.0,1.0,0.05,False,-0.001782316377680504,0.9853720400965932,0.9674057649667406,0.97630625435705,0.050011879306248515,0.9970917626107271,0.9904021390329041,17.985899686813354
800,0.5,0.7,0.01,False,0.0526836711689673,0.985359067988176,0.966535903121269,0.9758567246426726,0.050011879306248515,0.99650096152698,0.9890478793787036,106.59198236465454
800,0.5,0.7,0.05,False,-0.0013580151418932929,0.985359067988176,0.966535903121269,0.9758567246426726,0.050011879306248515,0.99650096152698,0.9890478793787036,106.7037148475647
500,0.5,0.7,0.01,False,0.0543920557552197,0.9853345873828683,0.9648985161180283,0.9750094791630761,0.050011879306248515,0.9965382202478344,0.9889885486972739,66.59689331054688
500,0.5,0.7,0.05,False,-0.0012500341781961494,0.9853345873828683,0.9648985161180283,0.9750094791630761,0.050011879306248515,0.9965382202478344,0.9889885486972739,66.72576403617859
300,0.5,0.7,0.01,False,0.05313388118975079,0.9853184774459033,0.9638239808971516,0.9744527120821513,0.050011879306248515,0.9966430064502585,0.9895573259497257,33.82418346405029
300,0.5,0.7,0.05,False,-0.0014676882815772008,0.9853184774459033,0.9638239808971516,0.9744527120821513,0.050011879306248515,0.9966430064502585,0.9895573259497257,34.866619348526
800,0.5,1.0,0.01,False,0.05249291712791368,0.9853005359543304,0.9626300528739553,0.9738333721562233,0.050011879306248515,0.9967064353369134,0.9891714536441428,23.997820377349854
800,0.5,1.0,0.05,False,-0.001519151259966961,0.9853005359543304,0.9626300528739553,0.9738333721562233,0.050011879306248515,0.9967064353369134,0.9891714536441428,23.74986696243286
300,0.5,1.0,0.01,False,0.053975080922353424,0.985265810380429,0.9603274774006482,0.972636815920398,0.050011879306248515,0.9968444270036887,0.989369315109671,5.290760278701782
300,0.5,1.0,0.05,False,-0.0022918699549488997,0.985265810380429,0.9603274774006482,0.972636815920398,0.050011879306248515,0.9968444270036887,0.989369315109671,5.458619594573975
500,0.5,1.0,0.01,False,0.05174820111869283,0.9852329925112682,0.9581613508442777,0.9715086165898538,0.050011879306248515,0.996706594208907,0.9891805500359904,14.629515171051025
500,0.5,1.0,0.05,False,-0.0020990267050812195,0.9852329925112682,0.9581613508442777,0.9715086165898538,0.050011879306248515,0.996706594208907,0.9891805500359904,14.71211552619934
800,auto,1.0,0.01,False,0.040317639630986016,0.9844752562873368,0.9106941838649155,0.946148530115358,0.050011879306248515,0.9943552069149402,0.9811469047731065,13.370565414428711
800,auto,1.0,0.05,False,-0.0002161804385828331,0.9844752562873368,0.9106941838649155,0.946148530115358,0.050011879306248515,0.9943552069149402,0.9811469047731065,13.480578899383545
800,auto,0.7,0.01,False,0.038065597122548145,0.9841765015410058,0.8932287224970151,0.9364997049408987,0.050011879306248515,0.9939939301871672,0.9804348747984337,83.33225440979004
800,auto,0.7,0.05,False,-0.0004140204971715411,0.9841765015410058,0.8932287224970151,0.9364997049408987,0.050011879306248515,0.9939939301871672,0.9804348747984337,88.4057822227478
300,auto,1.0,0.01,False,0.0457408294886283,0.984138645568428,0.8910625959406447,0.9352906950722821,0.050011879306248515,0.9942671465500269,0.9808529831201197,3.1167776584625244
300,auto,1.0,0.05,False,-0.0001312854582786599,0.984138645568428,0.8910625959406447,0.9352906950722821,0.050011879306248515,0.9942671465500269,0.9808529831201197,3.017754316329956
500,auto,1.0,0.01,False,0.04395401145396838,0.9841359559876404,0.8909090909090909,0.9352049128963529,0.050011879306248515,0.9941003018789176,0.9806414061516369,8.655579090118408
500,auto,1.0,0.05,False,-0.0004345213039129714,0.9841359559876404,0.8909090909090909,0.9352049128963529,0.050011879306248515,0.9941003018789176,0.9806414061516369,8.568075895309448
500,auto,0.7,0.01,False,0.03854418236488759,0.983891641636854,0.8771789186423333,0.9274758568452944,0.050011879306248515,0.993820492584388,0.9796733039833625,52.26180911064148
500,auto,0.7,0.05,False,-0.0008078816655382598,0.983891641636854,0.8771789186423333,0.9274758568452944,0.050011879306248515,0.993820492584388,0.9796733039833625,59.32138228416443
300,auto,0.7,0.01,False,0.041331469408766655,0.9836014489931056,0.8614020126215248,0.9184549356223176,0.050011879306248515,0.9936048128472365,0.9792436283822337,36.721938133239746
300,auto,0.7,0.05,False,-0.0004673320175488799,0.9836014489931056,0.8614020126215248,0.9184549356223176,0.050011879306248515,0.9936048128472365,0.9792436283822337,30.579052209854126
